Label;Area;XM;YM;Width;Height;Circ.;AR;Round;Area_mm2;Days;Plate_location;Drop_size_init;Cell_num_init;Plate;XM_corr;YM_corr;Voronoi_area;Place;Column
s11013.jpg_a-1.tif;2019;434.54;227.18;51;52;0.88;1.01;0.99;36.30901805;1;D6;5;8000;S1;357.16;0;18749;Corner;D
s11013.jpg_a-1.tif;1684;434.48;363.93;48;46;0.91;1.03;0.97;30.28449054;1;D5;4;8000;S1;357.1;136.75;21534;Edge;D
s11013.jpg_a-1.tif;1329;437.67;503.99;42;42;0.9;1.02;0.98;23.90028974;1;D4;3;8000;S1;360.29;276.81;21147;Edge;D
s11013.jpg_a-1.tif;1264;319.58;508.59;41;40;0.88;1.03;0.97;22.73135157;1;C4;3;4000;S1;242.2;281.41;16934;Mid;C
s11013.jpg_a-1.tif;947;438.36;644.11;36;35;0.89;1.03;0.97;17.03053001;1;D3;2;8000;S1;360.98;416.93;21704;Edge;D
s11013.jpg_a-1.tif;663;196.75;649.28;30;29;0.91;1.07;0.93;11.92316937;1;B3;2;2000;S1;119.37;422.1;17284;Mid;B
s11013.jpg_a-1.tif;728;321.48;649.28;31;30;0.9;1.03;0.97;13.09210755;1;C3;2;4000;S1;244.1;422.1;17071;Mid;C
s11013.jpg_a-1.tif;423;326.89;780.65;24;25;0.87;1.06;0.94;7.607089962;1;C2;1;4000;S1;249.51;553.47;16112;Mid;C
s11013.jpg_a-1.tif;687;441.43;784.84;30;30;0.93;1.01;0.99;12.35477731;1;D2;1;8000;S1;364.05;557.66;21936;Edge;D
s11013.jpg_a-1.tif;448;77.38;785.62;25;23;0.86;1.06;0.94;8.056681568;1;A2;1;1000;S1;0;558.44;20053;Edge;A
s11013.jpg_a-1.tif;494;200.93;786.57;26;25;0.89;1.04;0.96;8.883930122;1;B2;1;2000;S1;123.55;559.39;16230;Mid;B
s11013.jpg_b-1.tif;2382;305.88;88.33;61;58;0.61;1.03;0.97;42.83708816;1;C6;5;4000;S2;233.68;0;15465;Edge;C
s11013.jpg_b-1.tif;2511;416.8;91.96;58;59;0.79;1.06;0.94;45.15698084;1;D6;5;8000;S2;344.6;3.63;23455;Corner;D
s11013.jpg_b-1.tif;819;433.62;650.97;33;33;0.89;1.02;0.98;14.72862099;1;D2;1;8000;S2;361.42;562.64;22816;Edge;D
s11013.jpg_b-1.tif;734;188.01;656.19;32;30;0.63;1.14;0.88;13.20000953;1;B2;1;2000;S2;115.81;567.86;16166;Mid;B
s11013.jpg_b-1.tif;624;438.98;781.68;28;29;0.92;1.02;0.98;11.22180647;1;D1;0.5;8000;S2;366.78;693.35;25825;Corner;D
s11013.jpg_b-1.tif;582;318.72;785.19;28;28;0.92;1.01;0.99;10.46649257;1;C1;0.5;4000;S2;246.52;696.86;19114;Edge;C
s11013.jpg_b-1.tif;541;192.45;787.11;27;26;0.93;1.06;0.94;9.72916234;1;B1;0.5;2000;S2;120.25;698.78;18834;Edge;B
s11013.jpg_b-1.tif;485;72.2;791.54;26;27;0.75;1.07;0.94;8.722077144;1;A1;0.5;1000;S2;0;703.21;21032;Corner;A
s11014.jpg_a-1.tif;3261;442.35;72.06;63;70;0.67;1.09;0.92;58.644729;2;D6;5;8000;S1;365.56;0;18749;Corner;D
s11014.jpg_a-1.tif;2573;325.36;216.34;58;58;0.89;1;1;46.27196802;2;C5;4;4000;S1;248.57;144.28;16406;Mid;C
