Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,0.000
36,0.000
37,0.000
38,0.000
39,0.000
40,0.000
41,0.000
42,0.000
43,0.000
44,0.000
45,0.000
46,0.000
47,0.000
48,0.000
49,0.000
50,0.000
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.333
99,1.333
100,1.667
101,0.667
102,0.000
103,1.667
104,0.667
105,0.667
106,2.000
107,34.000
108,23.333
109,21.333
110,20.333
111,19.000
112,21.000
113,24.667
114,23.333
115,26.333
116,26.333
117,26.667
118,27.667
119,28.333
120,29.333
121,29.333
122,29.333
123,32.333
124,31.667
125,32.000
126,31.667
127,32.000
128,33.000
129,34.000
130,33.333
131,33.667
132,33.333
133,34.333
134,35.333
135,35.333
136,37.000
137,37.667
138,36.667
139,37.667
140,37.000
141,37.667
142,38.000
143,39.000
144,40.000
145,41.000
146,40.333
147,43.333
148,43.000
149,43.667
150,44.000
151,44.333
152,45.667
153,46.667
154,47.667
155,48.667
156,50.333
157,54.000
158,57.000
159,59.333
160,59.333
161,58.333
162,57.333
163,54.333
164,55.333
165,56.667
166,57.667
167,56.667
168,54.667
169,52.333
170,51.667
171,51.000
172,51.000
173,51.000
174,51.000
175,51.333
176,51.667
177,53.000
178,53.000
179,51.333
180,52.000
181,52.000
182,52.000
183,52.000
184,52.000
185,51.333
186,51.333
187,50.667
188,51.333
189,54.000
190,57.000
191,57.000
192,54.000
193,51.333
194,51.000
195,52.333
196,53.333
197,54.667
198,57.000
199,58.000
200,58.000
201,56.667
202,56.000
203,53.333
204,52.667
205,51.333
206,50.000
207,49.000
208,47.333
209,48.000
210,47.000
211,46.000
212,45.000
213,44.333
214,42.333
215,42.000
216,40.333
217,40.000
218,39.333
219,39.000
220,39.000
221,38.333
222,38.000
223,37.667
224,37.667
225,37.000
226,37.000
227,35.000
228,35.667
229,34.667
230,34.000
231,33.333
232,33.333
233,33.000
234,33.000
235,33.000
236,32.000
237,31.667
238,30.667
239,30.667
240,29.667
241,30.000
242,29.000
243,27.667
244,27.333
245,27.000
246,26.667
247,25.667
248,24.000
249,23.333
250,22.667
251,22.000
252,21.333
253,18.667
254,25.000
255,3.667
256,1.667
257,0.333
258,4.000
259,0.333
260,0.000
261,0.000
262,0.000
263,0.000
264,0.000
265,0.000
266,0.000
267,0.000
268,0.000
269,0.000
270,0.000
271,0.000
272,0.000
273,0.000
274,0.000
275,0.000
276,0.000
277,0.000
278,0.000
279,0.000
280,0.000
281,0.000
282,0.000
283,0.000
284,0.000
285,0.000
286,0.000
287,0.000
288,0.000
289,0.000
290,0.000
291,0.000
292,0.000
293,0.000
294,0.000
295,0.000
296,0.000
297,0.000
298,0.000
299,0.000
300,0.000
301,0.000
302,0.000
303,0.000
304,0.000
305,0.000
306,0.000
307,0.000
308,0.000
309,0.000
310,0.000
311,0.000
312,0.000
313,0.000
314,0.000
315,0.000
316,0.000
317,0.000
318,0.000
319,0.000
320,0.000
321,0.000
322,0.000
323,0.000
324,0.000
325,0.000
326,0.000
327,0.000
328,0.000
329,0.000
330,0.000
331,0.000
332,0.000
333,0.000
334,0.000
335,0.000
336,0.000
337,0.000
338,0.000
339,0.000
340,0.000
341,0.000
342,0.000
343,0.000
344,0.000
345,0.000
346,0.000
347,0.000
348,0.000
349,0.000
350,0.000
351,0.000
352,0.000
353,0.000
354,0.000
355,0.000
356,0.000
357,0.000
358,0.000
359,0.000
360,0.000
361,0.000
362,0.000
363,0.000
364,0.000
365,0.000
366,0.000
367,0.000
368,0.000
369,0.000
370,0.000
371,0.000
372,0.000
373,0.000
374,0.000
375,0.000
376,0.000
377,0.000
378,0.000
379,0.000
380,0.000
381,0.000
382,0.000
383,0.000
384,0.000
385,0.000
386,0.000
387,0.000
388,0.000
389,0.000
390,0.000
391,0.000
392,0.000
393,0.000
394,0.000
395,0.000
396,0.000
397,0.000
398,0.000
399,0.000
400,0.000
401,0.000
402,0.000
403,0.000
404,0.000
405,0.000
406,0.000
407,0.000
408,0.000
409,0.000
410,0.000
411,0.000
412,0.000
413,0.000
414,0.000
415,0.000
416,0.000
417,0.000
418,0.000
419,0.000
420,0.000
421,0.000
422,0.000
423,0.000
424,0.000
425,0.000
426,0.000
427,1.000
428,0.333
429,0.667
430,2.000
431,3.000
432,2.667
433,6.333
434,40.000
435,39.000
436,38.667
437,38.667
438,40.000
439,40.667
440,41.000
441,41.000
442,41.000
443,42.667
444,42.667
445,43.667
446,44.667
447,44.667
448,45.000
449,46.667
450,46.667
451,48.000
452,49.000
453,49.667
454,50.667
455,52.000
456,53.000
457,52.000
458,52.000
459,52.333
460,52.667
461,53.333
462,54.000
463,55.333
464,55.333
465,56.333
466,56.333
467,58.333
468,58.667
469,59.667
470,60.333
471,62.000
472,62.667
473,63.667
474,63.667
475,67.667
476,67.333
477,67.333
478,68.000
479,68.667
480,70.000
481,72.000
482,73.000
483,74.667
484,74.667
485,76.667
486,77.333
487,79.000
488,79.667
489,81.667
490,82.000
491,85.000
492,87.000
493,89.333
494,91.000
495,91.667
496,93.000
497,96.000
498,98.000
499,98.667
500,100.667
501,103.333
502,103.667
503,103.667
504,105.333
505,107.333
506,109.667
507,112.000
508,113.333
509,114.667
510,117.667
511,121.667
512,124.000
513,126.667
514,127.667
515,130.333
516,132.667
517,137.333
518,141.333
519,147.333
520,148.667
521,149.667
522,150.333
523,150.000
524,150.000
525,148.333
526,146.333
527,143.667
528,143.000
529,144.333
530,146.333
531,142.667
532,142.000
533,142.000
534,141.333
535,142.000
536,143.000
537,144.667
538,145.000
539,142.667
540,142.667
541,142.667
542,143.667
543,144.667
544,145.667
545,147.667
546,148.667
547,147.667
548,146.667
549,146.000
550,145.000
551,144.333
552,144.333
553,144.667
554,145.000
555,147.000
556,147.333
557,147.667
558,149.333
559,150.667
560,148.667
561,144.000
562,140.000
563,134.333
564,131.000
565,128.333
566,125.000
567,123.333
568,120.667
569,116.667
570,114.000
571,113.000
572,112.000
573,110.000
574,108.333
575,106.667
576,105.333
577,103.667
578,103.667
579,100.333
580,99.000
581,97.333
582,97.333
583,97.333
584,97.333
585,94.667
586,92.000
587,90.667
588,87.667
589,85.667
590,85.000
591,84.667
592,83.667
593,82.333
594,80.333
595,77.333
596,76.333
597,75.667
598,74.667
599,73.000
600,72.000
601,70.333
602,69.667
603,68.333
604,66.667
605,65.667
606,65.000
607,64.000
608,63.333
609,62.000
610,61.000
611,59.000
612,59.000
613,58.667
614,57.667
615,57.333
616,56.333
617,55.667
618,55.667
619,54.667
620,54.667
621,53.667
622,53.000
623,51.333
624,51.333
625,50.667
626,50.667
627,48.333
628,48.333
629,47.000
630,46.000
631,45.000
632,45.000
633,44.333
634,44.667
635,43.333
636,42.000
637,41.000
638,42.667
639,43.333
640,41.667
641,38.667
642,37.000
643,31.667
644,15.000
645,3.667
646,2.333
647,1.000
648,0.333
649,0.667
650,0.667
651,0.000
652,0.000
653,0.000
654,0.000
655,0.000
656,0.000
657,0.000
658,0.000
659,0.000
660,0.000
661,0.000
662,0.000
663,0.000
664,0.000
665,0.000
666,0.000
667,0.000
668,0.000
669,0.000
670,0.000
671,0.000
672,0.000
673,0.000
674,0.000
675,0.000
676,0.000
677,0.000
678,0.000
679,0.000
680,0.000
681,0.000
682,0.000
683,0.000
684,0.000
685,0.000
686,0.000
687,0.000
688,0.000
689,0.000
690,0.000
691,0.000
692,0.000
693,0.000
694,0.000
695,0.000
696,0.000
697,0.000
698,0.000
699,0.000
700,0.000
701,0.000
702,0.000
703,0.000
704,0.000
705,0.000
706,0.000
707,0.000
708,0.000
709,0.000
