Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,Circ.,AR,Round,Solidity,Sample,Area_mm2,Date,Converted date,Time,Converted time,Date+time,Elapsed time (Days)
"A1stack.tif:	2022:07:28 13:51:3",47754,231.65,113,252,874.91,841.56,738,716,259,250,0.63,1,1,0.94,A1,60.23239585,7/28/2022,44770,13:51:03,0.577118056,44770.57712,2.1
"A1stack.tif:	2022:07:29 10:34:0",53235,218.61,113,237,1169.3,874.94,1036,747,264,257,0.89,1.02,0.98,0.99,A1,67.14561278,7/29/2022,44771,10:34:00,0.440277778,44771.44028,3
"A1stack.tif:	2022:08:01 14:19:2",96369,235.98,105,253,770.31,650.52,593,472,359,353,0.58,1.02,0.98,0.97,A1,121.550776,8/1/2022,44774,14:19:02,0.596550926,44774.59655,6.1
"A1stack.tif:	2022:08:02 14:53:4",103607,221.66,113,247,1071.84,780.74,887,602,367,361,0.88,1.02,0.98,0.99,A1,130.6801071,8/2/2022,44775,14:53:04,0.620185185,44775.62019,7.2
"A1stack.tif:	2022:08:03 10:06:4",122439,234.85,113,253,1109.6,681.23,906,476,410,402,0.72,1.02,0.99,0.98,A1,154.4330174,8/3/2022,44776,10:06:04,0.42087963,44776.42088,8
"A1stack.tif:	2022:08:05 09:46:2",153450,230.75,113,253,1024.72,628.73,801,408,450,442,0.85,1.02,0.98,0.99,A1,193.5473707,8/5/2022,44778,9:46:02,0.406967593,44778.40697,9.9
"A1stack.tif:	2022:08:09 11:11:4",219516,231.55,113,253,935.19,666.36,669,396,534,535,0.75,1.02,0.98,0.98,A1,276.8767979,8/9/2022,44782,11:11:04,0.466018519,44782.46602,14
"A2stack.tif:	2022:07:28 13:51:0",54735,213.46,103,255,912.57,798.23,782,661,264,271,0.79,1.05,0.95,0.97,A2,69.03757144,7/28/2022,44770,13:51:00,0.577083333,44770.57708,2.1
"A2stack.tif:	2022:07:29 10:35:0",64889,209.96,103,255,1356.05,838.91,1208,698,298,289,0.87,1.06,0.94,0.99,A2,81.84487025,7/29/2022,44771,10:35:00,0.440972222,44771.44097,3
"A2stack.tif:	2022:08:01 14:19:3",103845,164.27,103,202,826.28,488.86,639,314,374,364,0.87,1.07,0.94,0.99,A2,130.9802979,8/1/2022,44774,14:19:03,0.5965625,44774.59656,6.1
"A2stack.tif:	2022:08:02 14:54:0",120431,212.28,103,255,1004.51,787.43,802,595,402,397,0.88,1.05,0.95,0.99,A2,151.9003155,8/2/2022,44775,14:54:00,0.620833333,44775.62083,7.2
