Hour,Dry,Dry to wet,Wet to dry,Wet
0,266,268,269,271
1,369,383,452,454
2,404,417,503,509
3,558,545,751,791
4,599,580,810,870
5,764,730,1096,1170
6,805,772,1171,1248
7,961,944,1464,1542
8,1000,994,1528,1599
9,1129,1127,1714,1812
10,1160,1158,1757,1864
11,1274,1251,1881,1988
12,1301,1278,1913,2008
13,1367,1340,2023,2120
14,1381,1364,2050,2140
15,1442,1424,2146,2238
16,1455,1439,2180,2261
17,1497,1494,2281,2364
18,1509,1505,2306,2384
19,1556,1544,2396,2499
20,1566,1558,2422,2516
21,1604,1597,2524,2626
22,1617,1606,2557,2648
23,1660,1646,2662,2769
24,1666,1659,2688,2792
25,1707,1703,2791,2904
26,1722,1715,2820,2922
27,1760,1753,2925,3051
28,1773,1764,2958,3073
29,1807,1803,3078,3208
30,1817,1815,3119,3233
31,1856,1861,3235,3356
32,1866,1871,3267,3375
33,1920,1901,3374,3506
34,1931,1914,3406,3531
35,1976,1956,3520,3659
36,1986,1969,3555,3681
37,2011,2007,3671,3814
38,2020,2022,3707,3837
39,2076,2065,3829,3966
40,2087,2079,3874,3993
41,2138,2116,3991,4130
42,2147,2125,4024,4159
43,2189,2169,4141,4295
44,2204,2190,4187,4328
45,2244,2228,4310,4469
46,2257,2241,4344,4494
47,2302,2279,4467,4634
48,2316,2296,4514,4663
49,2371,2344,4639,4825
50,2380,2360,4676,4852
51,2429,2396,4804,4991
52,2440,2410,4838,5026
53,2485,2455,4979,5185
54,2500,2472,5023,5216
55,2534,2516,5156,5374
56,2556,2533,5204,5400
57,2601,2578,5343,5567
58,2615,2596,5385,5605
59,2662,2641,5530,5742
60,2676,2658,5568,5782
61,2718,2698,5717,5932
62,2736,2709,5765,5967
63,2777,2746,5909,6113
64,2796,2770,5952,6147
65,2844,2822,6109,6311
66,2865,2838,6154,6358
67,2912,2884,6306,6517
68,2934,2902,6361,6547
69,2986,2945,6505,6735
70,3009,2965,6558,6774
71,3051,3000,6716,6955
72,3074,3021,6750,6989
73,3120,3070,6914,7154
74,3142,3087,6965,7203
75,3185,3138,7130,7381
76,3208,3159,7180,7429
77,3254,3200,7351,7600
78,3268,3221,7402,7640
79,3312,3268,7571,7816
80,3337,3287,7626,7869
81,3386,3328,7799,8042
82,3407,3351,7852,8088
83,3448,3393,8016,8270
84,3472,3423,8075,8328
85,3516,3470,8265,8514
86,3537,3495,8325,8567
87,3586,3541,8493,8747
88,3610,3562,8558,8794
89,3658,3610,8734,8969
90,3683,3629,8791,9022
91,3721,3688,8970,9233
92,3752,3708,9019,9285
93,3796,3747,9211,9480
94,3818,3770,9267,9534
95,3865,3832,9455,9730
96,3889,3844,9508,9783
97,3933,3886,9696,9983
98,3973,3911,9760,10043
99,4012,3953,9949,10262
100,4039,3983,10012,10307
101,4086,4044,10203,10524
102,4117,4067,10272,10575
103,4165,4116,10458,10785
104,4198,4139,10524,10843
105,4248,4188,10712,11030
106,4285,4214,10781,11092
107,4331,4266,10985,11306
108,4351,4293,11055,11362
109,4384,4338,11252,11589
110,4426,4358,11318,11641
111,4480,4417,11532,11868
112,4515,4440,11603,11929
113,4556,4484,11797,12140
114,4592,4518,11867,12204
115,4633,4567,12065,12403
116,4669,4589,12149,12458
117,4713,4641,12356,12675
118,4748,4671,12430,12730
119,4782,4715,12632,12965
120,4810,4745,12719,13037
121,4862,4809,12931,13251
122,4893,4845,13011,13310
123,4937,4897,13197,13530
124,4977,4921,13279,13601
