Hour,s5 c1000,s5 c2000,s5 c4000,s5 c8000,s4 c1000,s4 c2000,s4 c4000,s4 c8000,s3 c1000,s3 c2000,s3 c4000,s3 c8000,s2 c1000,s2 c2000,s2 c4000,s2 c8000,s1 c1000,s1 c2000,s1 c4000,s1 c8000,s0.5 c1000,s0.5 c2000,s0.5 c4000,s0.5 c8000
0,96,195,369,649,94,184,358,635,96,186,345,588,92,182,316,542,95,168,264,381,89,152,236,298
1,138,275,514,890,146,267,504,862,147,277,497,777,133,257,434,685,141,229,343,436,122,201,273,332
2,159,296,576,962,159,292,552,922,164,306,535,822,145,288,465,720,154,239,365,450,135,209,284,340
3,240,445,779,1242,222,426,755,1147,223,410,681,1007,214,380,595,850,206,301,427,481,186,262,323,360
4,263,475,850,1321,239,466,819,1188,242,447,729,1049,234,420,648,881,223,311,440,487,198,271,328,364
5,348,638,1076,1587,335,619,1023,1416,316,575,908,1191,309,525,748,955,280,372,474,520,245,312,348,381
6,384,674,1157,1647,361,662,1084,1470,354,606,950,1212,335,570,777,974,301,385,481,526,254,320,356,383
7,499,862,1375,1836,488,822,1268,1626,451,764,1083,1307,422,689,866,1014,353,441,507,548,298,349,377,398
8,556,913,1449,1879,517,873,1308,1661,487,797,1110,1319,464,720,893,1024,371,450,512,552,303,357,382,402
9,690,1144,1648,1989,664,1047,1483,1750,606,944,1231,1385,561,824,962,1066,420,500,536,576,347,389,399,426
10,754,1181,1700,2023,697,1093,1526,1766,643,971,1258,1395,588,865,981,1070,434,504,540,581,352,396,405,430
11,902,1379,1860,2092,844,1261,1640,1822,759,1098,1321,1435,678,925,1020,1108,484,531,560,609,380,417,425,451
12,964,1425,1904,2111,874,1312,1666,1834,796,1125,1335,1439,705,950,1035,1113,495,536,565,614,383,417,427,456
13,1111,1626,2007,2168,1022,1449,1757,1867,914,1225,1386,1480,785,1018,1058,1144,533,563,592,635,406,441,446,473
14,1187,1658,2036,2184,1055,1495,1772,1880,960,1242,1399,1486,817,1031,1069,1154,540,565,598,639,413,446,452,475
15,1346,1814,2110,2226,1209,1631,1833,1927,1080,1321,1449,1528,889,1066,1106,1194,572,588,623,667,436,469,477,495
16,1410,1849,2124,2240,1247,1659,1840,1940,1113,1336,1457,1531,905,1076,1120,1198,579,594,631,669,437,478,485,502
17,1545,1995,2182,2288,1381,1731,1891,1984,1194,1399,1501,1580,951,1115,1154,1231,603,615,650,700,459,490,511,526
18,1602,2026,2196,2308,1412,1756,1901,1998,1226,1405,1512,1589,965,1130,1171,1237,606,620,655,703,463,493,515,529
19,1722,2137,2257,2350,1523,1840,1953,2038,1303,1452,1550,1634,1006,1159,1189,1275,635,652,683,735,487,519,532,546
20,1773,2159,2270,2367,1549,1852,1963,2051,1323,1462,1561,1639,1022,1172,1205,1282,641,656,686,739,491,523,535,551
21,1854,2238,2318,2408,1667,1931,2013,2096,1387,1511,1603,1676,1061,1208,1239,1322,667,682,707,763,518,550,555,579
22,1885,2255,2333,2424,1695,1953,2026,2105,1400,1520,1615,1683,1075,1221,1254,1330,672,685,711,768,522,553,566,585
23,1974,2326,2376,2470,1779,2010,2060,2146,1463,1557,1661,1728,1118,1248,1287,1358,698,710,737,798,548,575,591,611
24,2006,2333,2389,2491,1791,2023,2071,2166,1474,1564,1675,1734,1126,1260,1301,1367,704,714,741,799,549,580,596,613
25,2087,2381,2435,2537,1868,2075,2122,2212,1520,1611,1710,1777,1166,1297,1323,1407,729,743,773,829,569,603,621,634
26,2119,2403,2451,2552,1890,2086,2135,2224,1528,1616,1717,1784,1178,1311,1337,1418,734,747,781,832,572,603,628,640
27,2186,2450,2500,2591,1948,2141,2171,2257,1580,1656,1753,1826,1209,1346,1365,1457,764,772,801,852,604,634,647,664
28,2218,2464,2515,2610,1962,2148,2180,2275,1590,1663,1767,1833,1221,1357,1378,1462,768,775,808,856,607,640,655,675
29,2271,2509,2558,2657,2014,2204,2225,2312,1634,1707,1814,1883,1251,1394,1408,1494,796,808,836,895,636,668,676,701
30,2298,2523,2574,2669,2029,2216,2238,2323,1643,1717,1827,1889,1262,1408,1420,1500,801,814,844,901,639,673,685,704
31,2348,2570,2614,2698,2083,2255,2282,2366,1695,1765,1859,1932,1304,1444,1455,1536,836,847,869,930,661,705,712,734
32,2370,2588,2630,2715,2097,2267,2297,2379,1706,1775,1869,1942,1323,1458,1471,1548,839,856,875,934,665,707,722,743
33,2416,2633,2666,2761,2131,2320,2333,2412,1741,1810,1911,1983,1350,1494,1500,1595,868,884,909,973,694,732,749,765
34,2438,2645,2684,2775,2149,2331,2345,2430,1750,1818,1925,1990,1358,1504,1520,1605,873,889,917,977,698,735,759,770
35,2483,2688,2727,2829,2204,2380,2387,2480,1804,1856,1965,2030,1391,1537,1545,1635,897,913,937,1007,732,766,782,793
36,2500,2700,2745,2842,2214,2388,2403,2498,1815,1863,1981,2035,1403,1546,1558,1645,902,917,946,1011,734,773,791,799
37,2558,2751,2780,2878,2254,2437,2441,2533,1849,1910,2020,2081,1445,1584,1587,1683,933,944,972,1040,760,805,813,828
38,2575,2767,2803,2893,2269,2447,2451,2556,1857,1919,2036,2088,1456,1599,1604,1691,939,954,983,1045,762,811,824,839
39,2617,2810,2848,2938,2310,2489,2485,2594,1894,1968,2078,2142,1484,1639,1637,1733,975,988,1006,1085,788,836,850,867
40,2643,2826,2868,2960,2327,2499,2501,2616,1906,1977,2089,2149,1498,1652,1655,1747,981,996,1021,1094,797,840,862,876
41,2683,2861,2900,2998,2366,2541,2549,2648,1954,2009,2121,2194,1534,1684,1685,1776,1004,1025,1049,1125,828,867,887,902
42,2708,2877,2917,3017,2381,2552,2565,2662,1966,2023,2132,2201,1554,1696,1707,1793,1009,1029,1061,1129,832,871,893,910
43,2756,2927,2957,3069,2414,2592,2603,2700,2007,2064,2175,2230,1585,1725,1740,1826,1045,1056,1089,1160,856,902,918,935
44,2776,2950,2975,3087,2434,2601,2618,2721,2021,2075,2186,2241,1596,1742,1756,1838,1048,1058,1100,1166,861,908,929,944
45,2814,2994,3015,3119,2468,2658,2651,2750,2063,2113,2225,2281,1627,1779,1784,1882,1081,1098,1125,1203,893,929,954,973
46,2835,3011,3031,3137,2487,2663,2668,2768,2083,2128,2236,2293,1642,1794,1798,1896,1093,1111,1137,1209,897,934,958,986
47,2879,3049,3064,3167,2527,2703,2687,2803,2120,2164,2268,2338,1672,1826,1829,1927,1132,1139,1169,1244,925,964,987,1018
48,2903,3072,3096,3193,2544,2719,2715,2834,2134,2175,2283,2354,1693,1842,1845,1944,1137,1143,1177,1252,933,969,1000,1027
49,2936,3120,3132,3238,2578,2757,2743,2864,2168,2207,2317,2391,1723,1869,1873,1983,1166,1175,1200,1282,962,1008,1028,1051
50,2960,3139,3154,3262,2594,2771,2764,2889,2184,2223,2334,2397,1741,1881,1889,1994,1173,1180,1210,1286,970,1019,1041,1063
51,3006,3173,3178,3300,2628,2803,2789,2910,2216,2257,2364,2446,1770,1916,1928,2036,1203,1216,1240,1324,994,1049,1069,1094
