Label;Area;XM;YM;Date;Days;Plate;Colonies on the plate
MASK_All_stack.tif:2_1202.tif_a;1569;391.515;566.397;1202;1;2a;2
MASK_All_stack.tif:3_1202.tif_a;1815;389.19;282.87;1202;1;3a;3
MASK_All_stack.tif:3_1202.tif_a;2024;238.41;507.707;1202;1;3a;3
MASK_All_stack.tif:3_1202.tif_a;1957;509.807;527.508;1202;1;3a;3
MASK_All_stack.tif:3_1202.tif_b;1501;396.158;240.575;1202;1;3b;3
MASK_All_stack.tif:3_1202.tif_b;1913;258.222;471.09;1202;1;3b;3
MASK_All_stack.tif:3_1202.tif_b;1829;525.069;481.013;1202;1;3b;3
MASK_All_stack.tif:3_1202.tif_c;2008;372.433;245.919;1202;1;3c;3
MASK_All_stack.tif:3_1202.tif_c;2123;231.302;469.199;1202;1;3c;3
MASK_All_stack.tif:3_1202.tif_c;1888;503.158;478.529;1202;1;3c;3
MASK_All_stack.tif:4_1202.tif_a;1738;386.581;270.56;1202;1;4a;4
MASK_All_stack.tif:4_1202.tif_a;1991;232.445;416.65;1202;1;4a;4
MASK_All_stack.tif:4_1202.tif_a;1849;547.872;423.812;1202;1;4a;4
MASK_All_stack.tif:4_1202.tif_a;1764;385.757;578.02;1202;1;4a;4
MASK_All_stack.tif:4_1202.tif_b;1952;387.814;223.319;1202;1;4b;4
MASK_All_stack.tif:4_1202.tif_b;1780;223.1;374.183;1202;1;4b;4
MASK_All_stack.tif:4_1202.tif_b;1822;533.745;382.334;1202;1;4b;4
MASK_All_stack.tif:4_1202.tif_b;1818;372.107;539.337;1202;1;4b;4
MASK_All_stack.tif:4_1202.tif_c;1557;384.235;233.999;1202;1;4c;4
MASK_All_stack.tif:4_1202.tif_c;1460;211.439;374.907;1202;1;4c;4
MASK_All_stack.tif:4_1202.tif_c;1501;525.283;398.269;1202;1;4c;4
MASK_All_stack.tif:6_1202.tif_a;1794;414.014;247.201;1202;1;6a;6
MASK_All_stack.tif:6_1202.tif_a;1746;271.957;312.364;1202;1;6a;6
MASK_All_stack.tif:6_1202.tif_a;1710;542.251;335.584;1202;1;6a;6
MASK_All_stack.tif:6_1202.tif_a;1779;265.983;477.063;1202;1;6a;6
MASK_All_stack.tif:6_1202.tif_a;1805;529.82;489.374;1202;1;6a;6
MASK_All_stack.tif:6_1202.tif_a;1774;392.63;564.551;1202;1;6a;6
MASK_All_stack.tif:6_1202.tif_b;1739;406.028;219.36;1202;1;6b;6
MASK_All_stack.tif:6_1202.tif_b;1727;273.455;291.722;1202;1;6b;6
MASK_All_stack.tif:6_1202.tif_b;1774;544.172;293.826;1202;1;6b;6
MASK_All_stack.tif:6_1202.tif_b;1724;539.282;448.618;1202;1;6b;6
MASK_All_stack.tif:6_1202.tif_b;1651;277.359;452.005;1202;1;6b;6
MASK_All_stack.tif:6_1202.tif_b;1716;410.503;532.262;1202;1;6b;6
MASK_All_stack.tif:1_1205.tif_a;5464;397.406;266.334;1205;4;1a;1
MASK_All_stack.tif:1_1205.tif_b;5791;381.19;230.266;1205;4;1b;1
MASK_All_stack.tif:1_1205.tif_c;5743;368.066;230.186;1205;4;1c;1
MASK_All_stack.tif:1_1205.tif_d;5658;382.106;168.422;1205;4;1d;1
MASK_All_stack.tif:2_1205.tif_a;5997;388.811;262.055;1205;4;2a;2
MASK_All_stack.tif:2_1205.tif_a;6010;374.104;575.88;1205;4;2a;2
MASK_All_stack.tif:2_1205.tif_b;5576;368.515;228.346;1205;4;2b;2
MASK_All_stack.tif:2_1205.tif_b;6003;372.416;549.41;1205;4;2b;2
MASK_All_stack.tif:2_1205.tif_c;5977;366.654;218.005;1205;4;2c;2
MASK_All_stack.tif:2_1205.tif_c;6165;374.412;532.525;1205;4;2c;2
MASK_All_stack.tif:3_1205.tif_a;5955;362.917;244.243;1205;4;3a;3
MASK_All_stack.tif:3_1205.tif_a;6257;507.982;474.942;1205;4;3a;3
MASK_All_stack.tif:3_1205.tif_a;6151;235.961;482.925;1205;4;3a;3
MASK_All_stack.tif:3_1205.tif_b;5751;382.523;231.787;1205;4;3b;3
MASK_All_stack.tif:3_1205.tif_b;6623;252.061;465.995;1205;4;3b;3
MASK_All_stack.tif:3_1205.tif_b;6418;518.845;467.122;1205;4;3b;3
MASK_All_stack.tif:3_1205.tif_c;6387;391.677;230.342;1205;4;3c;3
MASK_All_stack.tif:3_1205.tif_c;6529;246.979;451.651;1205;4;3c;3
MASK_All_stack.tif:3_1205.tif_c;6181;519.052;464.772;1205;4;3c;3
MASK_All_stack.tif:4_1205.tif_a;5770;379.533;277.944;1205;4;4a;4
MASK_All_stack.tif:4_1205.tif_a;6272;549.395;422.133;1205;4;4a;4
MASK_All_stack.tif:4_1205.tif_a;6195;233.212;432.408;1205;4;4a;4
MASK_All_stack.tif:4_1205.tif_a;5997;396.053;585.512;1205;4;4a;4
MASK_All_stack.tif:4_1205.tif_b;5927;375.769;252.564;1205;4;4b;4
MASK_All_stack.tif:4_1205.tif_b;5790;535.106;398.322;1205;4;4b;4
MASK_All_stack.tif:4_1205.tif_b;5736;223.986;416.838;1205;4;4b;4
MASK_All_stack.tif:4_1205.tif_b;5751;386.956;568.758;1205;4;4b;4
MASK_All_stack.tif:4_1205.tif_c;5624;383.795;224.958;1205;4;4c;4
MASK_All_stack.tif:4_1205.tif_c;5426;221.629;376.558;1205;4;4c;4
MASK_All_stack.tif:4_1205.tif_c;5546;534.493;378.899;1205;4;4c;4
MASK_All_stack.tif:4_1205.tif_c;5256;378.857;538.404;1205;4;4c;4
MASK_All_stack.tif:6_1205.tif_a;5337;400.908;258.778;1205;4;6a;6
MASK_All_stack.tif:6_1205.tif_a;5184;257.423;323.376;1205;4;6a;6
MASK_All_stack.tif:6_1205.tif_a;5387;529.157;348.069;1205;4;6a;6
MASK_All_stack.tif:6_1205.tif_a;5285;250.408;488.503;1205;4;6a;6
MASK_All_stack.tif:6_1205.tif_a;5541;515.531;502.446;1205;4;6a;6
MASK_All_stack.tif:6_1205.tif_a;5385;377.249;577.198;1205;4;6a;6
MASK_All_stack.tif:6_1205.tif_b;5108;377.341;246.54;1205;4;6b;6
MASK_All_stack.tif:6_1205.tif_b;5200;239.136;309.696;1205;4;6b;6
MASK_All_stack.tif:6_1205.tif_b;5146;510.541;330.713;1205;4;6b;6
MASK_All_stack.tif:6_1205.tif_b;5219;231.962;470.412;1205;4;6b;6
MASK_All_stack.tif:6_1205.tif_b;5102;494.946;485.368;1205;4;6b;6
MASK_All_stack.tif:6_1205.tif_b;5273;360.013;560.313;1205;4;6b;6
MASK_All_stack.tif:1_1206.tif_a;7123;388.063;258.993;1206;5;1a;1
MASK_All_stack.tif:1_1206.tif_b;7571;377.717;229.415;1206;5;1b;1
MASK_All_stack.tif:1_1206.tif_c;7512;388.826;238.406;1206;5;1c;1
MASK_All_stack.tif:1_1206.tif_d;7471;397.545;204.395;1206;5;1d;1
MASK_All_stack.tif:2_1206.tif_a;7773;406.143;269.508;1206;5;2a;2
MASK_All_stack.tif:2_1206.tif_a;7855;380.478;582.389;1206;5;2a;2
MASK_All_stack.tif:2_1206.tif_b;7254;395.439;249.49;1206;5;2b;2
MASK_All_stack.tif:2_1206.tif_b;7832;368.443;568.995;1206;5;2b;2
MASK_All_stack.tif:2_1206.tif_c;7843;415.74;237.997;1206;5;2c;2
MASK_All_stack.tif:2_1206.tif_c;7963;390.678;551.606;1206;5;2c;2
MASK_All_stack.tif:3_1206.tif_a;7675;407.288;259.562;1206;5;3a;3
MASK_All_stack.tif:3_1206.tif_a;7874;245.85;476.326;1206;5;3a;3
MASK_All_stack.tif:3_1206.tif_a;8065;515.843;509.098;1206;5;3a;3
MASK_All_stack.tif:3_1206.tif_b;7458;389.056;211.204;1206;5;3b;3
MASK_All_stack.tif:3_1206.tif_b;8506;231.985;428.544;1206;5;3b;3
MASK_All_stack.tif:3_1206.tif_b;8288;496.956;460.976;1206;5;3b;3
MASK_All_stack.tif:3_1206.tif_c;8238;405.679;243.195;1206;5;3c;3
MASK_All_stack.tif:3_1206.tif_c;8378;238.449;448.588;1206;5;3c;3
MASK_All_stack.tif:3_1206.tif_c;7895;508.101;489.652;1206;5;3c;3
MASK_All_stack.tif:4_1206.tif_a;7326;388.444;281.27;1206;5;4a;4
MASK_All_stack.tif:4_1206.tif_a;7943;555.042;429.792;1206;5;4a;4
MASK_All_stack.tif:4_1206.tif_a;7794;238.292;432.546;1206;5;4a;4
MASK_All_stack.tif:4_1206.tif_a;7688;397.45;589.576;1206;5;4a;4
MASK_All_stack.tif:4_1206.tif_b;7516;388.551;239.918;1206;5;4b;4
MASK_All_stack.tif:4_1206.tif_b;7352;226.15;393.954;1206;5;4b;4
MASK_All_stack.tif:4_1206.tif_b;7425;538.17;396.193;1206;5;4b;4
MASK_All_stack.tif:4_1206.tif_b;7419;378.81;556.591;1206;5;4b;4
MASK_All_stack.tif:4_1206.tif_c;7179;373.541;226.597;1206;5;4c;4
MASK_All_stack.tif:4_1206.tif_c;6952;210.897;378.723;1206;5;4c;4
MASK_All_stack.tif:4_1206.tif_c;7111;524.914;380.877;1206;5;4c;4
MASK_All_stack.tif:4_1206.tif_c;6747;368.822;540.812;1206;5;4c;4
MASK_All_stack.tif:6_1206.tif_a;6672;372.337;238.358;1206;5;6a;6
MASK_All_stack.tif:6_1206.tif_a;6524;231.224;309.5;1206;5;6a;6
MASK_All_stack.tif:6_1206.tif_a;6724;504.907;322.366;1206;5;6a;6
MASK_All_stack.tif:6_1206.tif_a;6660;231.348;475.358;1206;5;6a;6
MASK_All_stack.tif:6_1206.tif_a;6980;498.041;477.788;1206;5;6a;6
MASK_All_stack.tif:6_1206.tif_a;6793;362.459;558.853;1206;5;6a;6
MASK_All_stack.tif:6_1206.tif_b;6356;405.029;218.226;1206;5;6b;6
MASK_All_stack.tif:6_1206.tif_b;6542;261.929;271.924;1206;5;6b;6
MASK_All_stack.tif:6_1206.tif_b;6436;532.644;311.945;1206;5;6b;6
MASK_All_stack.tif:6_1206.tif_b;6605;243.363;432.181;1206;5;6b;6
MASK_All_stack.tif:6_1206.tif_b;6406;506.162;465.89;1206;5;6b;6
MASK_All_stack.tif:6_1206.tif_b;6655;365.631;531.483;1206;5;6b;6
MASK_All_stack.tif:1_1207.tif_a;9206;374.981;268.826;1207;6;1a;1
MASK_All_stack.tif:1_1207.tif_b;9337;388.927;231.024;1207;6;1b;1
MASK_All_stack.tif:1_1207.tif_c;9313;372.961;245.998;1207;6;1c;1
MASK_All_stack.tif:1_1207.tif_d;9037;370.08;177.115;1207;6;1d;1
MASK_All_stack.tif:2_1207.tif_a;9578;394.63;248.49;1207;6;2a;2
MASK_All_stack.tif:2_1207.tif_a;9767;409.102;561.848;1207;6;2a;2
MASK_All_stack.tif:2_1207.tif_b;8969;377.357;234.35;1207;6;2b;2
MASK_All_stack.tif:2_1207.tif_b;9668;377.616;555.057;1207;6;2b;2
MASK_All_stack.tif:2_1207.tif_c;9632;360.339;256.148;1207;6;2c;2
MASK_All_stack.tif:2_1207.tif_c;9755;354.655;570.664;1207;6;2c;2
MASK_All_stack.tif:3_1207.tif_a;9395;391.329;282.628;1207;6;3a;3
MASK_All_stack.tif:3_1207.tif_a;9623;253.677;515.546;1207;6;3a;3
MASK_All_stack.tif:3_1207.tif_a;9836;525.994;519.548;1207;6;3a;3
MASK_All_stack.tif:3_1207.tif_b;9200;398.697;263.295;1207;6;3b;3
MASK_All_stack.tif:3_1207.tif_b;10354;241.253;480.901;1207;6;3b;3
MASK_All_stack.tif:3_1207.tif_b;10091;506.777;513.37;1207;6;3b;3
MASK_All_stack.tif:3_1207.tif_c;10037;379.122;252.31;1207;6;3c;3
MASK_All_stack.tif:3_1207.tif_c;10114;228.201;470.877;1207;6;3c;3
MASK_All_stack.tif:3_1207.tif_c;9713;501.408;490.731;1207;6;3c;3
MASK_All_stack.tif:4_1207.tif_a;8849;381.209;282.619;1207;6;4a;4
MASK_All_stack.tif:4_1207.tif_a;9653;550.743;429.226;1207;6;4a;4
MASK_All_stack.tif:4_1207.tif_a;9359;232.677;436.561;1207;6;4a;4
MASK_All_stack.tif:4_1207.tif_a;9304;394.634;591.886;1207;6;4a;4
MASK_All_stack.tif:4_1207.tif_b;9058;371.583;235.39;1207;6;4b;4
MASK_All_stack.tif:4_1207.tif_b;8811;199.77;379.494;1207;6;4b;4
MASK_All_stack.tif:4_1207.tif_b;8979;511.792;400.738;1207;6;4b;4
MASK_All_stack.tif:4_1207.tif_b;9039;342.789;551.481;1207;6;4b;4
MASK_All_stack.tif:4_1207.tif_c;8724;352.889;240.856;1207;6;4c;4
MASK_All_stack.tif:4_1207.tif_c;8649;515.563;384.417;1207;6;4c;4
MASK_All_stack.tif:4_1207.tif_c;8482;201.001;404.773;1207;6;4c;4
MASK_All_stack.tif:4_1207.tif_c;8240;370.913;555.57;1207;6;4c;4
MASK_All_stack.tif:6_1207.tif_a;7948;394.909;277.892;1207;6;6a;6
MASK_All_stack.tif:6_1207.tif_a;7791;254.357;352.014;1207;6;6a;6
MASK_All_stack.tif:6_1207.tif_a;7953;529.748;359.805;1207;6;6a;6
MASK_All_stack.tif:6_1207.tif_a;8290;525.745;516.319;1207;6;6a;6
MASK_All_stack.tif:6_1207.tif_a;7937;257.449;518.618;1207;6;6a;6
MASK_All_stack.tif:6_1207.tif_a;8106;390.811;600.195;1207;6;6a;6
MASK_All_stack.tif:6_1207.tif_b;7568;387.989;227.425;1207;6;6b;6
MASK_All_stack.tif:6_1207.tif_b;7851;248.128;291.408;1207;6;6b;6
MASK_All_stack.tif:6_1207.tif_b;7684;522.995;312.497;1207;6;6b;6
MASK_All_stack.tif:6_1207.tif_b;7924;240.792;453.429;1207;6;6b;6
