Hour,6a,6b,6c,6d,6e,6f,4a,4b,4c,4d,3a,3b,3c,2a,2b,1a
0,276,277,275,270,274,276,274,260,280,274,279,273,283,275,279,275
1,430,427,414,413,421,405,425,394,408,428,417,413,438,422,433,436
2,455,476,467,453,461,452,468,435,459,464,458,458,486,459,477,465
3,657,655,650,632,658,638,678,635,631,660,649,669,684,658,666,686
4,697,723,702,690,704,704,738,690,706,701,722,712,738,706,727,731
5,947,959,938,893,960,918,980,906,922,934,944,946,970,919,934,990
6,998,1029,999,963,1034,999,1038,971,994,990,1010,999,1018,964,982,1043
7,1260,1241,1230,1172,1263,1216,1274,1189,1193,1228,1250,1232,1280,1192,1213,1260
8,1307,1303,1292,1227,1328,1287,1334,1245,1269,1281,1309,1271,1319,1237,1264,1312
9,1512,1494,1469,1424,1532,1458,1526,1444,1450,1465,1497,1472,1528,1438,1458,1520
10,1543,1552,1517,1470,1580,1513,1578,1496,1518,1517,1545,1516,1570,1483,1494,1553
11,1694,1684,1659,1612,1719,1642,1687,1644,1637,1645,1695,1671,1731,1633,1646,1684
12,1718,1721,1682,1653,1758,1695,1710,1682,1681,1685,1731,1703,1753,1663,1666,1720
13,1812,1819,1794,1742,1846,1786,1805,1776,1769,1764,1818,1816,1851,1751,1777,1812
14,1821,1843,1811,1768,1868,1819,1825,1807,1798,1786,1840,1837,1872,1776,1790,1835
15,1901,1916,1892,1851,1929,1876,1896,1888,1871,1847,1916,1909,1933,1847,1876,1896
16,1915,1933,1907,1872,1947,1909,1914,1903,1898,1868,1935,1931,1941,1863,1885,1916
17,1976,2008,1974,1940,2003,1963,1976,1967,1966,1918,1989,1996,2011,1929,1962,1982
18,1987,2028,1988,1965,2022,1998,1988,1985,1990,1942,2006,2019,2027,1945,1978,1999
19,2072,2079,2045,2027,2072,2052,2048,2041,2049,1994,2063,2079,2091,2009,2057,2059
20,2078,2099,2051,2049,2084,2072,2059,2056,2061,2016,2077,2094,2100,2028,2061,2074
21,2132,2145,2126,2102,2152,2119,2119,2109,2122,2074,2134,2155,2167,2086,2126,2134
22,2145,2162,2138,2119,2174,2152,2134,2125,2141,2094,2159,2175,2176,2097,2138,2154
23,2214,2215,2203,2171,2225,2200,2197,2186,2199,2152,2216,2240,2236,2159,2209,2211
24,2224,2224,2219,2187,2246,2229,2209,2201,2217,2175,2233,2258,2246,2181,2218,2226
25,2285,2290,2288,2243,2301,2277,2293,2266,2278,2221,2290,2318,2319,2238,2282,2278
26,2294,2309,2301,2262,2314,2303,2307,2285,2291,2247,2311,2334,2329,2250,2288,2298
27,2360,2376,2369,2318,2379,2350,2361,2343,2354,2302,2373,2393,2400,2314,2359,2351
28,2366,2401,2380,2341,2389,2383,2376,2366,2373,2331,2394,2411,2408,2333,2371,2369
29,2445,2447,2434,2399,2442,2422,2436,2422,2429,2391,2447,2476,2473,2391,2449,2432
30,2463,2462,2445,2422,2463,2455,2453,2438,2447,2417,2469,2492,2485,2409,2457,2457
31,2526,2520,2510,2479,2527,2506,2522,2486,2505,2476,2520,2551,2559,2481,2534,2523
32,2534,2543,2528,2499,2545,2540,2539,2500,2523,2502,2543,2570,2563,2500,2545,2540
33,2607,2601,2595,2553,2605,2590,2598,2563,2587,2554,2596,2628,2649,2551,2617,2600
34,2617,2614,2605,2570,2625,2616,2609,2584,2610,2582,2615,2645,2659,2570,2630,2621
35,2683,2684,2667,2635,2684,2669,2673,2648,2663,2627,2672,2708,2713,2630,2699,2686
36,2695,2703,2681,2657,2694,2703,2688,2669,2691,2652,2695,2725,2722,2658,2710,2709
37,2760,2761,2759,2707,2744,2747,2765,2725,2755,2710,2763,2786,2793,2728,2774,2762
38,2772,2783,2769,2731,2769,2777,2778,2750,2772,2734,2785,2799,2806,2748,2788,2791
39,2851,2849,2831,2796,2835,2829,2832,2813,2821,2792,2837,2863,2874,2809,2855,2853
40,2870,2873,2845,2817,2870,2854,2844,2834,2851,2819,2861,2884,2882,2823,2869,2877
41,2932,2942,2906,2866,2933,2906,2909,2896,2916,2866,2919,2942,2957,2894,2934,2941
42,2950,2962,2915,2889,2951,2933,2923,2911,2943,2884,2947,2963,2973,2913,2948,2958
43,3009,3029,2983,2955,3014,2985,3002,2978,3001,2942,3005,3041,3056,2984,3027,3020
44,3027,3049,3005,2978,3035,3024,3024,2992,3017,2969,3025,3058,3069,3004,3038,3042
45,3095,3108,3080,3042,3093,3071,3093,3051,3087,3021,3077,3123,3133,3068,3112,3106
46,3112,3128,3099,3064,3116,3110,3116,3070,3114,3048,3108,3143,3140,3089,3128,3138
47,3190,3191,3168,3112,3179,3161,3191,3141,3175,3100,3174,3209,3224,3158,3198,3195
48,3209,3216,3181,3134,3202,3199,3208,3160,3197,3130,3198,3226,3242,3180,3209,3215
49,3275,3275,3253,3201,3265,3249,3275,3227,3244,3192,3263,3307,3311,3250,3284,3281
50,3296,3299,3267,3225,3289,3285,3292,3246,3268,3221,3291,3321,3323,3268,3303,3307
51,3362,3363,3333,3284,3350,3331,3353,3306,3328,3287,3343,3386,3394,3330,3382,3375
